		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0				0	
영업이익			0				0	
영업이익(발표기준)			0				0	
세전계속사업이익			0				0	
당기순이익			0				0	
당기순이익(지배)			0				0	
당기순이익(비지배)								
자산총계			20				20	
부채총계			14				14	
자본총계			6				6	
자본총계(지배)			6				6	
자본총계(비지배)								
자본금			0				0	
영업활동현금흐름			0				0	
투자활동현금흐름			-15				-15	
재무활동현금흐름			20				20	
CAPEX								
FCF								
이자발생부채			14				14	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			238.07				238.07	
자본유보율			1,073.36				1,073.36	
EPS(원)			-150				-38	
PER(배)								
BPS(원)			1,173				1,173	
PBR(배)			0.00				0.00	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)								
발행주식수(보통주)			501,000				501,000	
