		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0				0	
영업이익			-1				0	
영업이익(발표기준)			-1				0	
세전계속사업이익			-1				0	
당기순이익			0				0	
당기순이익(지배)			0				0	
당기순이익(비지배)								
자산총계			94				94	
부채총계			11				11	
자본총계			83				83	
자본총계(지배)			83				83	
자본총계(비지배)								
자본금			4				4	
영업활동현금흐름			-1				0	
투자활동현금흐름			-80				0	
재무활동현금흐름			90				0	
CAPEX								
FCF								
이자발생부채			11				11	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			13.67				13.67	
자본유보율			1,773.73				1,773.73	
EPS(원)			-48					
PER(배)			N/A					
BPS(원)			1,874				1,874	
PBR(배)			1.08				1.08	
현금DPS(원)			0			0	0	
현금배당수익률			0.00					
현금배당성향(%)								
발행주식수(보통주)			4,410,000			410,000	4,410,000	
